Epoch [1/10], Train Loss: 6.4193, Val Loss: 6.4193, Val Accuracy: 0.00%
Epoch [2/10], Train Loss: 11.9356, Val Loss: 11.9356, Val Accuracy: 0.00%
Epoch [3/10], Train Loss: 16.9034, Val Loss: 16.9034, Val Accuracy: 0.00%
Epoch [4/10], Train Loss: 21.4789, Val Loss: 21.4789, Val Accuracy: 0.00%
Epoch [5/10], Train Loss: 25.7353, Val Loss: 25.7353, Val Accuracy: 0.00%
Epoch [6/10], Train Loss: 29.7044, Val Loss: 29.7044, Val Accuracy: 0.00%
Epoch [7/10], Train Loss: 33.4081, Val Loss: 33.4081, Val Accuracy: 0.00%
Epoch [8/10], Train Loss: 36.8632, Val Loss: 36.8632, Val Accuracy: 0.00%
Epoch [9/10], Train Loss: 40.0843, Val Loss: 40.0843, Val Accuracy: 0.00%
Epoch [10/10], Train Loss: 43.0850, Val Loss: 43.0850, Val Accuracy: 0.00%
训练完成，model saved at CloudSeaScene/model_saved/CnnClasification_20240807_epoch10.pth
