Epoch [1/10], Train Loss: 6.5970, Val Loss: 6.6699, Val Accuracy: 0.00%
Epoch [2/10], Train Loss: 14.8969, Val Loss: 15.1414, Val Accuracy: 0.00%
Epoch [3/10], Train Loss: 22.9145, Val Loss: 23.3441, Val Accuracy: 0.00%
Epoch [4/10], Train Loss: 30.3629, Val Loss: 30.9775, Val Accuracy: 0.00%
Epoch [5/10], Train Loss: 37.1396, Val Loss: 37.9267, Val Accuracy: 0.00%
Epoch [6/10], Train Loss: 43.2084, Val Loss: 44.1529, Val Accuracy: 0.00%
Epoch [7/10], Train Loss: 48.5733, Val Loss: 49.6600, Val Accuracy: 0.00%
Epoch [8/10], Train Loss: 53.2675, Val Loss: 54.4805, Val Accuracy: 0.00%
Epoch [9/10], Train Loss: 57.3423, Val Loss: 58.6659, Val Accuracy: 0.00%
Epoch [10/10], Train Loss: 60.8559, Val Loss: 62.2756, Val Accuracy: 0.00%
训练完成，model saved at CloudSeaScene/model_saved/CnnClasification_20240807_epoch10.pth
