Epoch [1/10], Train Loss: 1.4397, Val Loss: 10.1615, Val Accuracy: 0.00%
Epoch [2/10], Train Loss: 0.0008, Val Loss: 23.1621, Val Accuracy: 0.00%
Epoch [3/10], Train Loss: 0.0000, Val Loss: 33.1862, Val Accuracy: 0.00%
Epoch [4/10], Train Loss: 0.0000, Val Loss: 46.3365, Val Accuracy: 0.00%
Epoch [5/10], Train Loss: 0.0000, Val Loss: 53.4630, Val Accuracy: 0.00%
Epoch [6/10], Train Loss: 0.0000, Val Loss: 61.7952, Val Accuracy: 0.00%
Epoch [7/10], Train Loss: 0.0000, Val Loss: 68.8504, Val Accuracy: 0.00%
Epoch [8/10], Train Loss: 0.0000, Val Loss: 76.5805, Val Accuracy: 0.00%
Epoch [9/10], Train Loss: 0.0000, Val Loss: 87.2498, Val Accuracy: 0.00%
Epoch [10/10], Train Loss: 0.0000, Val Loss: 92.5990, Val Accuracy: 0.00%
训练完成，model saved at CloudSeaScene/model_saved/CnnClasification_20240807_epoch10.pth
